DATE,GS10,GS2
2006-01-01,4.42,4.4
2006-02-01,4.57,4.67
2006-03-01,4.72,4.73
2006-04-01,4.99,4.89
2006-05-01,5.11,4.97
2006-06-01,5.11,5.12
2006-07-01,5.09,5.12
2006-08-01,4.88,4.9
2006-09-01,4.72,4.77
2006-10-01,4.73,4.8
2006-11-01,4.6,4.74
2006-12-01,4.56,4.67
2007-01-01,4.76,4.88
2007-02-01,4.72,4.85
2007-03-01,4.56,4.57
2007-04-01,4.69,4.67
2007-05-01,4.75,4.77
2007-06-01,5.1,4.98
2007-07-01,5.0,4.82
2007-08-01,4.67,4.31
2007-09-01,4.52,4.01
2007-10-01,4.53,3.97
2007-11-01,4.15,3.34
2007-12-01,4.1,3.12
2008-01-01,3.74,2.48
2008-02-01,3.74,1.97
2008-03-01,3.51,1.62
2008-04-01,3.68,2.05
2008-05-01,3.88,2.45
2008-06-01,4.1,2.77
2008-07-01,4.01,2.57
2008-08-01,3.89,2.42
2008-09-01,3.69,2.08
2008-10-01,3.81,1.61
2008-11-01,3.53,1.21
2008-12-01,2.42,0.82
2009-01-01,2.52,0.81
2009-02-01,2.87,0.98
2009-03-01,2.82,0.93
2009-04-01,2.93,0.93
2009-05-01,3.29,0.93
2009-06-01,3.72,1.18
2009-07-01,3.56,1.02
2009-08-01,3.59,1.12
2009-09-01,3.4,0.96
2009-10-01,3.39,0.95
2009-11-01,3.4,0.8
2009-12-01,3.59,0.87
2010-01-01,3.73,0.93
2010-02-01,3.69,0.86
2010-03-01,3.73,0.96
2010-04-01,3.85,1.06
2010-05-01,3.42,0.83
2010-06-01,3.2,0.72
2010-07-01,3.01,0.62
2010-08-01,2.7,0.52
2010-09-01,2.65,0.48
2010-10-01,2.54,0.38
2010-11-01,2.76,0.45
2010-12-01,3.29,0.62
2011-01-01,3.39,0.61
2011-02-01,3.58,0.77
2011-03-01,3.41,0.7
2011-04-01,3.46,0.73
2011-05-01,3.17,0.56
2011-06-01,3.0,0.41
2011-07-01,3.0,0.41
2011-08-01,2.3,0.23
2011-09-01,1.98,0.21
2011-10-01,2.15,0.28
2011-11-01,2.01,0.25
2011-12-01,1.98,0.26
2012-01-01,1.97,0.24
2012-02-01,1.97,0.28
2012-03-01,2.17,0.34
2012-04-01,2.05,0.29
2012-05-01,1.8,0.29
2012-06-01,1.62,0.29
2012-07-01,1.53,0.25
2012-08-01,1.68,0.27
2012-09-01,1.72,0.26
2012-10-01,1.75,0.28
2012-11-01,1.65,0.27
2012-12-01,1.72,0.26
2013-01-01,1.91,0.27
2013-02-01,1.98,0.27
2013-03-01,1.96,0.26
2013-04-01,1.76,0.23
2013-05-01,1.93,0.25
2013-06-01,2.3,0.33
2013-07-01,2.58,0.34
2013-08-01,2.74,0.36
2013-09-01,2.81,0.4
2013-10-01,2.62,0.34
2013-11-01,2.72,0.3
2013-12-01,2.9,0.34
2014-01-01,2.86,0.39
2014-02-01,2.71,0.33
2014-03-01,2.72,0.4
2014-04-01,2.71,0.42
2014-05-01,2.56,0.39
2014-06-01,2.6,0.45
2014-07-01,2.54,0.51
2014-08-01,2.42,0.47
2014-09-01,2.53,0.57
2014-10-01,2.3,0.45
2014-11-01,2.33,0.53
2014-12-01,2.21,0.64
2015-01-01,1.88,0.55
2015-02-01,1.98,0.62
2015-03-01,2.04,0.64
2015-04-01,1.94,0.54
2015-05-01,2.2,0.61
2015-06-01,2.36,0.69
2015-07-01,2.32,0.67
2015-08-01,2.17,0.7
2015-09-01,2.17,0.71
2015-10-01,2.07,0.64
2015-11-01,2.26,0.88
2015-12-01,2.24,0.98
2016-01-01,2.09,0.9
2016-02-01,1.78,0.73
2016-03-01,1.89,0.88
2016-04-01,1.81,0.77
2016-05-01,1.81,0.82
2016-06-01,1.64,0.73
2016-07-01,1.5,0.67
2016-08-01,1.56,0.74
2016-09-01,1.63,0.77
2016-10-01,1.76,0.84
2016-11-01,2.14,0.98
2016-12-01,2.49,1.2
2017-01-01,2.43,1.21
2017-02-01,2.42,1.2
2017-03-01,2.48,1.31
2017-04-01,2.3,1.24
2017-05-01,2.3,1.3
2017-06-01,2.19,1.34
2017-07-01,2.32,1.37
2017-08-01,2.21,1.34
2017-09-01,2.2,1.38
2017-10-01,2.36,1.55
2017-11-01,2.35,1.7
2017-12-01,2.4,1.84
2018-01-01,2.58,2.03
2018-02-01,2.86,2.18
2018-03-01,2.84,2.28
2018-04-01,2.87,2.38
2018-05-01,2.98,2.51
2018-06-01,2.91,2.53
2018-07-01,2.89,2.61
2018-08-01,2.89,2.64
2018-09-01,3.0,2.77
2018-10-01,3.15,2.86
2018-11-01,3.12,2.86
2018-12-01,2.83,2.68
2019-01-01,2.71,2.54
2019-02-01,2.68,2.5
2019-03-01,2.57,2.41
2019-04-01,2.53,2.34
2019-05-01,2.4,2.21
2019-06-01,2.07,1.81
2019-07-01,2.06,1.84
2019-08-01,1.63,1.57
2019-09-01,1.7,1.65
2019-10-01,1.71,1.55
2019-11-01,1.81,1.61
2019-12-01,1.86,1.61
2020-01-01,1.76,1.52
2020-02-01,1.5,1.33
2020-03-01,0.87,0.45
2020-04-01,0.66,0.22
2020-05-01,0.67,0.17
2020-06-01,0.73,0.19
2020-07-01,0.62,0.15
2020-08-01,0.65,0.14
2020-09-01,0.68,0.13
2020-10-01,0.79,0.15
2020-11-01,0.87,0.17
2020-12-01,0.93,0.14
2021-01-01,1.08,0.13
2021-02-01,1.26,0.12
2021-03-01,1.61,0.15
2021-04-01,1.64,0.16
2021-05-01,1.62,0.16
2021-06-01,1.52,0.2
2021-07-01,1.32,0.22
2021-08-01,1.28,0.22
2021-09-01,1.37,0.24
2021-10-01,1.58,0.39
2021-11-01,1.56,0.51
2021-12-01,1.47,0.68
2022-01-01,1.76,0.98
2022-02-01,1.93,1.44
2022-03-01,2.13,1.91
2022-04-01,2.75,2.54
2022-05-01,2.9,2.62
2022-06-01,3.14,3.0
2022-07-01,2.9,3.04
2022-08-01,2.9,3.25
2022-09-01,3.52,3.86
2022-10-01,3.98,4.38
2022-11-01,3.89,4.5
2022-12-01,3.62,4.29
2023-01-01,3.53,4.21
2023-02-01,3.75,4.53
2023-03-01,3.66,4.3
2023-04-01,3.46,4.02
2023-05-01,3.57,4.13
2023-06-01,3.75,4.64
2023-07-01,3.9,4.83
2023-08-01,4.17,4.9
2023-09-01,4.38,5.02
2023-10-01,4.8,5.07
2023-11-01,4.5,4.88
2023-12-01,4.02,4.46
2024-01-01,4.06,4.32
2024-02-01,4.21,4.54
2024-03-01,4.21,4.59
2024-04-01,4.54,4.87
2024-05-01,4.48,4.86
2024-06-01,4.31,4.74
2024-07-01,4.25,4.5
2024-08-01,3.87,3.97
2024-09-01,3.72,3.62
2024-10-01,4.1,3.97
2024-11-01,4.36,4.26
2024-12-01,4.39,4.23
2025-01-01,4.63,4.27
2025-02-01,4.45,4.21
2025-03-01,4.28,3.97
2025-04-01,4.28,3.78
2025-05-01,4.42,3.92
2025-06-01,4.38,3.89
2025-07-01,4.39,3.88
2025-08-01,4.26,3.7
2025-09-01,4.12,3.57
2025-10-01,4.06,3.52
2025-11-01,4.09,3.55
2025-12-01,4.14,3.5
2026-01-01,4.21,3.54
